frame,time_s,raw_yaw_deg,raw_pitch_deg,raw_screen_x,raw_screen_y,filtered_x,filtered_y,final_x,final_y,speed,locked,ear_avg,blink_click,fwd_x,fwd_y,fwd_z
41,3.7880,226.5631,171.6002,4260.0,1324.8,4263.5,1323.7,2550.0,1323.7,0.87,0,0.2499,0,0.722419,-0.101008,0.684039
42,3.8377,226.7452,171.5576,4271.7,1327.8,4267.0,1325.3,2550.0,1325.3,1.61,0,0.2475,0,0.724576,-0.101184,0.681727
43,3.8807,226.7649,171.2997,4273.0,1346.4,4269.2,1328.0,2550.0,1328.0,2.75,0,0.2461,0,0.724579,-0.104252,0.681261
44,3.9307,226.8376,171.7108,4277.6,1316.8,4272.5,1325.5,2550.0,1325.5,2.59,0,0.2414,0,0.725822,-0.099172,0.680697
45,3.9743,227.0116,173.3681,4288.7,1197.5,4279.0,1241.1,2550.0,1241.1,84.38,0,0.2415,0,0.729204,-0.079030,0.679718
46,4.0235,227.9798,174.2448,4350.7,1134.4,4323.5,1159.5,2550.0,1159.5,81.60,0,0.2344,0,0.741224,-0.067313,0.667874
47,4.0683,227.6798,174.3015,4331.5,1130.3,4328.0,1138.2,2550.0,1138.2,21.32,0,0.2359,0,0.737731,-0.067032,0.671758
48,4.1174,227.9430,174.1562,4348.4,1140.8,4339.8,1139.9,2550.0,1139.9,1.80,0,0.2401,0,0.740740,-0.068399,0.668301
49,4.1623,228.0374,174.3941,4354.4,1123.6,4347.7,1129.4,2550.0,1129.4,10.53,0,0.2396,0,0.741985,-0.065490,0.667210
50,4.2109,228.0477,174.4989,4355.1,1116.1,4351.5,1121.0,2550.0,1121.0,8.40,0,0.2410,0,0.742165,-0.064251,0.667131
51,4.2541,227.8821,175.5545,4344.5,1040.1,4348.7,1064.8,2550.0,1064.8,56.25,0,0.2511,0,0.740760,-0.052069,0.669749
52,4.3038,228.2759,175.8584,4369.7,1018.2,4358.6,1030.8,2550.0,1030.8,33.95,0,0.2453,0,0.745493,-0.048137,0.664773
53,4.3489,228.2322,175.7186,4366.9,1028.3,4362.1,1029.1,2550.0,1029.1,1.69,0,0.2379,0,0.744924,-0.049806,0.665287
54,4.3911,227.9894,175.5308,4351.3,1041.8,4359.0,1036.2,2550.0,1036.2,7.07,0,0.2278,0,0.742006,-0.052239,0.668355
55,4.4392,228.0154,175.7524,4353.0,1025.8,4357.7,1030.4,2550.0,1030.4,5.79,0,0.2249,0,0.742409,-0.049621,0.668107
56,4.4837,227.8737,176.1349,4343.9,998.3,4357.6,1011.9,2550.0,1011.9,18.48,0,0.2278,0,0.740908,-0.045271,0.670080
57,4.6487,183.0018,207.1360,1472.1,-1233.8,1472.1,-1233.8,1472.1,10.0,1471.64,0,0.2409,0,0.046617,0.455608,0.888959
58,4.6965,182.1585,209.9355,1418.1,-1435.4,1448.4,-1384.0,1448.4,10.0,23.73,0,0.2426,0,0.032645,0.498759,0.866126
59,4.7434,182.0043,210.3299,1408.3,-1463.7,1426.8,-1445.5,1426.8,10.0,21.62,0,0.2324,0,0.030193,0.504747,0.862739
60,4.7908,182.0376,210.3487,1410.4,-1465.1,1418.0,-1460.1,1418.0,10.0,8.74,0,0.2299,0,0.030688,0.505023,0.862560
61,4.8392,182.1489,210.4797,1417.5,-1474.5,1417.8,-1470.4,1417.8,10.0,0.24,0,0.2343,0,0.032321,0.506967,0.861359
62,4.8863,181.9517,210.7451,1404.9,-1493.6,1411.8,-1486.4,1411.8,10.0,5.98,0,0.2341,0,0.029275,0.511000,0.859082
63,4.9357,182.0388,210.7277,1410.5,-1492.4,1411.3,-1490.3,1411.3,10.0,0.56,0,0.2354,0,0.030586,0.510720,0.859203
64,4.9811,182.0276,210.9424,1409.8,-1507.9,1410.7,-1501.0,1410.7,10.0,0.52,0,0.2362,0,0.030351,0.513939,0.857289
65,5.0322,181.6375,210.8933,1384.8,-1504.3,1398.8,-1502.9,1398.8,10.0,11.92,0,0.2386,0,0.024524,0.513287,0.857867
66,5.0802,181.7422,210.8945,1391.5,-1504.4,1395.8,-1503.7,1395.8,10.0,3.07,0,0.2386,0,0.026092,0.513284,0.857822
67,5.1249,181.5513,210.8426,1379.3,-1500.7,1388.7,-1502.4,1388.7,10.0,7.06,0,0.2410,0,0.023245,0.512543,0.858347
68,5.1722,181.5598,210.6256,1379.8,-1485.0,1384.9,-1498.2,1384.9,10.0,3.78,0,0.2424,0,0.023425,0.509286,0.860278
69,5.2187,181.6485,210.4812,1385.5,-1474.6,1385.1,-1496.2,1385.1,10.0,0.21,0,0.2421,0,0.024794,0.507100,0.861531
70,5.2671,181.6067,210.7442,1382.8,-1493.6,1384.4,-1496.0,1384.4,10.0,0.74,0,0.2438,0,0.024101,0.511058,0.859208
71,5.3122,181.5299,210.8723,1377.9,-1502.8,1382.4,-1496.1,1382.4,10.0,1.96,1,0.2437,0,0.022919,0.512992,0.858088
72,5.3592,181.3881,210.8832,1368.8,-1503.6,1377.6,-1496.9,1382.4,10.0,4.80,1,0.2451,0,0.020791,0.513179,0.858030
73,5.4049,181.4501,210.9253,1372.8,-1506.6,1376.1,-1498.7,1382.4,10.0,1.56,1,0.2472,0,0.021710,0.513799,0.857636
74,5.4517,181.3621,210.9202,1367.2,-1506.3,1373.1,-1500.4,1382.4,10.0,2.99,1,0.2487,0,0.020393,0.513736,0.857706
75,5.4975,181.3627,210.9234,1367.2,-1506.5,1371.2,-1501.8,1382.4,10.0,1.86,1,0.2505,0,0.020402,0.513785,0.857676
76,5.5430,181.3981,210.9105,1369.5,-1505.6,1370.7,-1502.6,1382.4,10.0,0.48,1,0.2498,0,0.020935,0.513586,0.857782
77,5.5906,181.3485,210.7748,1366.3,-1495.8,1369.5,-1501.8,1382.4,10.0,1.20,1,0.2545,0,0.020222,0.511561,0.859009
78,5.6365,181.3723,210.6764,1367.8,-1488.7,1369.1,-1500.8,1382.4,10.0,0.40,1,0.2566,0,0.020598,0.510081,0.859880
79,5.6832,181.5356,210.6945,1378.3,-1490.0,1370.0,-1498.8,1382.4,10.0,0.90,1,0.2543,0,0.023046,0.510325,0.859673
80,5.7290,181.8093,210.2746,1395.8,-1459.8,1375.7,-1482.5,1382.4,10.0,5.64,1,0.2570,0,0.027270,0.503957,0.863298
81,5.7752,181.8015,210.0385,1395.3,-1442.8,1382.2,-1461.5,1382.4,10.0,6.52,1,0.2574,0,0.027218,0.500396,0.865368
82,5.8218,181.8315,209.9509,1397.2,-1436.5,1387.8,-1447.7,1382.4,10.0,5.65,1,0.2579,0,0.027695,0.499067,0.866121
83,5.8673,181.8059,209.8860,1395.6,-1431.8,1390.6,-1439.1,1382.4,10.0,2.80,1,0.2580,0,0.027326,0.498090,0.866695
84,5.9148,181.7351,209.9149,1391.0,-1433.9,1390.8,-1436.5,1382.4,10.0,0.13,1,0.2595,0,0.026248,0.498541,0.866468
85,5.9629,181.7795,209.8522,1393.9,-1429.4,1391.7,-1433.1,1382.4,10.0,0.90,1,0.2594,0,0.026936,0.497584,0.866998
86,6.0166,181.9596,209.8865,1405.4,-1431.8,1396.6,-1432.6,1382.4,10.0,4.92,1,0.2609,0,0.029652,0.498065,0.866633
87,6.1500,181.8646,209.9130,1399.3,-1433.7,1397.8,-1433.2,1382.4,10.0,1.25,1,0.2617,0,0.028207,0.498486,0.866439
88,6.1959,181.7654,210.4691,1393.0,-1473.8,1397.2,-1442.7,1382.4,10.0,0.65,1,0.2744,0,0.026556,0.506895,0.861599
89,6.2422,182.1278,210.4677,1416.2,-1473.7,1402.5,-1455.2,1382.4,10.0,5.33,1,0.2735,0,0.032007,0.506792,0.861474
90,6.2913,182.2749,210.3777,1425.6,-1467.2,1411.7,-1460.3,1382.4,10.0,9.17,1,0.2728,0,0.034252,0.505402,0.862204
91,6.3399,182.0856,209.9799,1413.5,-1438.6,1412.3,-1456.2,1382.4,10.0,0.62,1,0.2727,0,0.031529,0.499448,0.865770
92,6.3894,181.9685,209.8382,1406.0,-1428.4,1410.8,-1450.9,1382.4,10.0,1.51,1,0.2705,0,0.029800,0.497332,0.867049
93,6.4385,181.8961,209.9656,1401.3,-1437.5,1409.9,-1447.2,1382.4,10.0,0.85,1,0.2739,0,0.028668,0.499274,0.865970
94,6.4889,181.8663,209.9288,1399.4,-1434.9,1409.1,-1443.2,1382.4,10.0,0.81,1,0.2758,0,0.028229,0.498725,0.866300
95,6.5368,181.7716,209.9127,1393.4,-1433.7,1405.6,-1440.1,1382.4,10.0,3.54,1,0.2752,0,0.026800,0.498501,0.866475
96,6.5833,181.8587,209.9599,1399.0,-1437.1,1404.0,-1439.2,1382.4,10.0,1.58,1,0.2736,0,0.028105,0.499197,0.866033
97,6.6322,181.8061,209.8777,1395.6,-1431.2,1401.7,-1436.7,1382.4,10.0,2.30,1,0.2731,0,0.027331,0.497964,0.866767
98,6.6829,181.7735,209.8976,1393.5,-1432.6,1399.3,-1435.5,1382.4,10.0,2.43,1,0.2725,0,0.026833,0.498273,0.866605
99,6.7337,181.8243,209.9192,1396.8,-1434.2,1398.6,-1435.2,1382.4,10.0,0.67,1,0.2710,0,0.027595,0.498589,0.866399
100,6.7825,181.8943,209.9026,1401.2,-1433.0,1399.1,-1434.7,1382.4,10.0,0.48,1,0.2698,0,0.028658,0.498322,0.866518
101,6.8298,181.8518,209.8410,1398.5,-1428.6,1399.0,-1433.3,1382.4,10.0,0.09,1,0.2687,0,0.028034,0.497400,0.867068
102,6.8767,181.8906,210.0149,1401.0,-1441.1,1399.2,-1434.1,1382.4,10.0,0.19,1,0.2672,0,0.028571,0.500020,0.865542
103,6.9221,181.9261,209.9859,1403.3,-1439.0,1399.3,-1434.2,1382.4,10.0,0.10,1,0.2690,0,0.029116,0.499575,0.865781
104,6.9712,181.9648,210.0099,1405.7,-1440.7,1399.8,-1434.7,1382.4,10.0,0.47,1,0.2701,0,0.029694,0.499929,0.865557
